ID,Pathway
CDK5,Signaling by NTRK2 (TRKB)
CDK5,NGF-stimulated transcription
CDK5,Diseases of programmed cell death
CDK5,Defective Intrinsic Pathway for Apoptosis
CALCRL,Class B/2 (Secretin family receptors)
CALCRL,G alpha (s) signalling events
FLOT1,RHOA GTPase cycle
FLOT1,RHOB GTPase cycle
FLOT1,RHOC GTPase cycle
PSMD14,Host Interactions of HIV factors
PSMD14,Vpu mediated degradation of CD4
PSMD14,Vif-mediated degradation of APOBEC3G
PSMD14,Degradation of beta-catenin by the destruction complex
PSMD14,PCP/CE pathway
PSMD14,Asymmetric localization of PCP proteins
PSMD14,Degradation of AXIN
PSMD14,Degradation of DVL
PSMD14,Hedgehog ligand biogenesis
PSMD14,Hh mutants are degraded by ERAD
PSMD14,Hh mutants abrogate ligand secretion
PSMD14,Degradation of GLI1 by the proteasome
PSMD14,Degradation of GLI2 by the proteasome
PSMD14,GLI3 is processed to GLI3R by the proteasome
PSMD14,Hedgehog 'off' state
PSMD14,ABC transporter disorders
PSMD14,Disorders of transmembrane transporters
PSMD14,Hedgehog 'on' state
PSMD14,Regulation of RAS by GAPs
PSMD14,Defective CFTR causes cystic fibrosis
PSMD14,MAPK6/MAPK4 signaling
PSMD14,Regulation of PTEN stability and activity
PSMD14,Signaling by NOTCH4
PSMD14,Negative regulation of NOTCH4 signaling
CDK7,Formation of HIV elongation complex in the absence of HIV Tat
CDK7,Formation of the HIV-1 Early Elongation Complex
CDK7,RNA Pol II CTD phosphorylation and interaction with CE during HIV infection
CDK7,HIV Transcription Initiation
CDK7,RNA Polymerase II HIV Promoter Escape
CDK7,HIV Transcription Elongation
CDK7,Transcription of the HIV genome
CDK7,Formation of HIV-1 elongation complex containing HIV-1 Tat
CDK7,Tat-mediated elongation of the HIV-1 transcript
TRIB1,Signaling by NTRK1 (TRKA)
TRIB1,Nuclear Events (kinase and transcription factor activation)
TRIB1,NGF-stimulated transcription
PLIN3,RHOBTB3 ATPase cycle
RASGRP2,Effects of PIP2 hydrolysis
RASGRP2,Integrin signaling
CDK8,Signaling by TGF-beta Receptor Complex
CDK8,Signaling by NOTCH1
CDK8,NOTCH1 Intracellular Domain Regulates Transcription
CDK8,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer
CDK8,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
CDK8,Signaling by NOTCH1 PEST Domain Mutants in Cancer
CDK8,Signaling by NOTCH1 in Cancer
CDK8,Constitutive Signaling by NOTCH1 PEST Domain Mutants
CDK8,Signaling by NOTCH1 HD+PEST Domain Mutants in Cancer
CDK8,Constitutive Signaling by NOTCH1 HD+PEST Domain Mutants
CDK8,Respiratory Syncytial Virus Infection Pathway
CDK8,RSV-host interactions
CDK9,Host Interactions of HIV factors
CDK9,Formation of HIV elongation complex in the absence of HIV Tat
CDK9,HIV Transcription Elongation
CDK9,Transcription of the HIV genome
CDK9,Formation of HIV-1 elongation complex containing HIV-1 Tat
CDK9,Pausing and recovery of Tat-mediated HIV elongation
CDK9,Tat-mediated HIV elongation arrest and recovery
CDK9,Tat-mediated elongation of the HIV-1 transcript
CDK9,HIV elongation arrest and recovery
CDK9,Pausing and recovery of HIV elongation
CDK9,Signaling by TGF-beta Receptor Complex
CDK9,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer
CDK9,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
CDK9,Estrogen-dependent gene expression
SRRM1,RHOBTB2 GTPase cycle
SRRM1,RHOBTB1 GTPase cycle
SRRM1,RHOBTB GTPase Cycle
SPRY1,Signaling by EGFR
SPRY1,EGFR downregulation
SPRY2,Signaling by EGFR
SPRY2,EGFR downregulation
SPRY2,Signaling by FGFR
SPRY2,Negative regulation of FGFR1 signaling
SPRY2,Negative regulation of FGFR2 signaling
SPRY2,Negative regulation of FGFR3 signaling
SPRY2,Negative regulation of FGFR4 signaling
SPRY2,Signaling by FGFR1
SPRY2,Signaling by FGFR2
SPRY2,Signaling by FGFR3
SPRY2,Signaling by FGFR4
STAM2,Signaling by EGFR
STAM2,EGFR downregulation
STAM2,Signaling by MET
STAM2,Negative regulation of MET activity
STAM2,InlB-mediated entry of Listeria monocytogenes into host cell
STAM2,Listeria monocytogenes entry into host cells
STAM2,RHOU GTPase cycle
STAM2,Bacterial Infection Pathways
CNKSR1,MAP2K and MAPK activation
CNKSR1,Signaling by moderate kinase activity BRAF mutants
CNKSR1,Signaling by high-kinase activity BRAF mutants
CNKSR1,Signaling by RAS mutants
CNKSR1,Signaling by BRAF and RAF1 fusions
CNKSR1,Paradoxical activation of RAF signaling by kinase inactive BRAF
CNKSR1,Oncogenic MAPK signaling
CNKSR1,Signaling downstream of RAS mutants
CNKSR1,Signaling by RAF1 mutants
CDKN1A,AKT phosphorylates targets in the cytosol
CDKN1A,PI3K/AKT Signaling in Cancer
CDKN1A,Constitutive Signaling by AKT1 E17K in Cancer
CDKN1A,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects
CDKN1A,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)"
CDKN1A,Diseases of mitotic cell cycle
CDKN1A,FLT3 signaling in disease
CDKN1A,Aberrant regulation of mitotic cell cycle due to RB1 defects
CDKN1A,Signaling by ALK in cancer
CDKN1A,Signaling by FLT3 ITD and TKD mutants
CDKN1A,Signaling by ALK fusions and activated point mutants
RAMP2,Class B/2 (Secretin family receptors)
RAMP2,G alpha (s) signalling events
RAMP1,Class B/2 (Secretin family receptors)
RAMP1,G alpha (s) signalling events
RAMP3,Class B/2 (Secretin family receptors)
RAMP3,G alpha (s) signalling events
CDKN1B,AKT phosphorylates targets in the cytosol
CDKN1B,PI3K/AKT Signaling in Cancer
CDKN1B,RHO GTPases activate CIT
CDKN1B,Constitutive Signaling by AKT1 E17K in Cancer
CDKN1B,Signaling by PTK6
CDKN1B,Signaling by Non-Receptor Tyrosine Kinases
CDKN1B,Extra-nuclear estrogen signaling
CDKN1B,Estrogen-dependent nuclear events downstream of ESR-membrane signaling
CDKN1B,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects
CDKN1B,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)"
CDKN1B,Diseases of mitotic cell cycle
CDKN1B,Aberrant regulation of mitotic cell cycle due to RB1 defects
FSTL3,Signaling by Activin
STUB1,Signaling by ERBB2
STUB1,Signaling by TGF-beta Receptor Complex
STUB1,Downregulation of TGF-beta receptor signaling
STUB1,TGF-beta receptor signaling activates SMADs
STUB1,Regulation of TNFR1 signaling
STUB1,TNF signaling
STUB1,Downregulation of ERBB2 signaling
STUB1,Regulation of PTEN stability and activity
STAG1,Estrogen-dependent gene expression
NET1,NRAGE signals death through JNK
NET1,p75 NTR receptor-mediated signalling
NET1,"Cell death signalling via NRAGE, NRIF and NADE"
NET1,G alpha (12/13) signalling events
NET1,RHOA GTPase cycle
NET1,RHOB GTPase cycle
CDKN1C,Aberrant regulation of mitotic G1/S transition in cancer due to RB1 defects
CDKN1C,"Defective binding of RB1 mutants to E2F1,(E2F2, E2F3)"
CDKN1C,Diseases of mitotic cell cycle
CDKN1C,Aberrant regulation of mitotic cell cycle due to RB1 defects
SIGMAR1,Potential therapeutics for SARS
SAP18,Potential therapeutics for SARS
RGS19,G alpha (z) signalling events
PAK4,Activation of RAC1
PAK4,RAC2 GTPase cycle
PAK4,RHOQ GTPase cycle
PAK4,RHOH GTPase cycle
PAK4,RHOG GTPase cycle
PAK4,RHOJ GTPase cycle
PAK4,RHOU GTPase cycle
PAK4,RAC3 GTPase cycle
PAK4,RHOV GTPase cycle
CDKN2B,Signaling by TGF-beta Receptor Complex
CDKN2B,Transcriptional activity of SMAD2/SMAD3:SMAD4 heterotrimer
CDKN2B,SMAD2/SMAD3:SMAD4 heterotrimer regulates transcription
TCIRG1,Signaling by Insulin receptor
TCIRG1,Insulin receptor recycling
LAMC3,Signaling by MET
LAMC3,MET activates PTK2 signaling
LAMC3,MET promotes cell motility
RRAGB,MTOR signalling
RRAGB,mTORC1-mediated signalling
RRAGB,Energy dependent regulation of mTOR by LKB1-AMPK
RRAGB,Regulation of PTEN gene transcription
CLEC4M,Respiratory Syncytial Virus Infection Pathway
CLEC4M,RSV-host interactions
TLR6,Diseases of Immune System
TLR6,Diseases associated with the TLR signaling cascade
TLR6,Respiratory Syncytial Virus Infection Pathway
TLR6,RSV-host interactions
HMG20B,Potential therapeutics for SARS
TUBA1B,Hedgehog 'off' state
TUBA1B,RHO GTPases activate IQGAPs
TUBA1B,RHO GTPases Activate Formins
TUBA1B,RHOH GTPase cycle
TUBA1B,HCMV Infection
TUBA1B,HCMV Early Events
TUBB3,Hedgehog 'off' state
TUBB3,RHO GTPases activate IQGAPs
TUBB3,RHO GTPases Activate Formins
TUBB3,HCMV Infection
TUBB3,HCMV Early Events
MYL12B,RHO GTPases activate PKNs
MYL12B,RHO GTPases activate CIT
MYL12B,RHO GTPases Activate ROCKs
MYL12B,RHO GTPases activate PAKs
NOD1,SARS-CoV-2 activates/modulates innate and adaptive immune responses
ANAPC10,Diseases of mitotic cell cycle
ANAPC10,Aberrant regulation of mitotic exit in cancer due to RB1 defects
ANAPC10,Aberrant regulation of mitotic cell cycle due to RB1 defects
DLC1,RHOA GTPase cycle
DLC1,RHOB GTPase cycle
DLC1,RHOC GTPase cycle
DLC1,RHOQ GTPase cycle
MYL9,RHO GTPases activate PKNs
MYL9,RHO GTPases activate CIT
MYL9,RHO GTPases Activate ROCKs
MYL9,RHO GTPases activate PAKs
ST3GAL6,Pre-NOTCH Processing in Golgi
ST3GAL6,Pre-NOTCH Expression and Processing
BASP1,RHOF GTPase cycle
RAPGEF3,Integrin signaling
YAP1,Signaling by ERBB4
YAP1,Nuclear signaling by ERBB4
YAP1,Signaling by Hippo
PGRMC2,RHOA GTPase cycle
PGRMC2,RAC2 GTPase cycle
PGRMC2,RHOD GTPase cycle
PGRMC2,RHOG GTPase cycle
PGRMC2,RAC3 GTPase cycle
SEC24B,SARS-CoV-2 activates/modulates innate and adaptive immune responses
LYPLA1,RAS processing
CDC42EP2,MAPK6/MAPK4 signaling
CDC42EP2,RHOQ GTPase cycle
VAV3,NRAGE signals death through JNK
VAV3,p75 NTR receptor-mediated signalling
VAV3,Signaling by VEGF
VAV3,"Cell death signalling via NRAGE, NRIF and NADE"
VAV3,G alpha (12/13) signalling events
VAV3,VEGFA-VEGFR2 Pathway
VAV3,RHOA GTPase cycle
VAV3,RAC2 GTPase cycle
VAV3,RHOG GTPase cycle
VAV3,Parasite infection
VAV3,Leishmania phagocytosis
VAV3,FCGR3A-mediated phagocytosis
TAB1,TNFR1-induced NF-kappa-B signaling pathway
TAB1,TNF signaling
TAB1,SARS-CoV-2 activates/modulates innate and adaptive immune responses
GPNMB,Signaling by PTK6
GPNMB,Signaling by Non-Receptor Tyrosine Kinases
BAIAP2,Signaling by VEGF
BAIAP2,VEGFA-VEGFR2 Pathway
BAIAP2,RHO GTPases Activate WASPs and WAVEs
BAIAP2,RAC3 GTPase cycle
BAIAP2,Parasite infection
BAIAP2,Leishmania phagocytosis
BAIAP2,FCGR3A-mediated phagocytosis
TACC3,Signaling by NOTCH3
TACC3,NOTCH3 Activation and Transmission of Signal to the Nucleus
TACC3,Signaling by NOTCH4
TACC3,Negative regulation of NOTCH4 signaling
PPIH,SARS-CoV-1-host interactions
PPIH,SARS-CoV-1 activates/modulates innate immune responses
FST,Signaling by Activin
SEC23A,SARS-CoV-2 activates/modulates innate and adaptive immune responses
LRRC41,RHOBTB3 ATPase cycle
CRHR1,Class B/2 (Secretin family receptors)
CRHR1,G alpha (s) signalling events
CARM1,Estrogen-dependent gene expression
NCOA2,RHO GTPases activate PKNs
NCOA2,Estrogen-dependent gene expression
SEMA4F,RND3 GTPase cycle
CEBPB,Signaling by ALK in cancer
CEBPB,Signaling by ALK fusions and activated point mutants
CEBPB,Nuclear events stimulated by ALK signaling in cancer
CEBPD,HCMV Infection
CEBPD,HCMV Late Events
KAT5,Formation of the beta-catenin:TCF transactivating complex
KAT5,Estrogen-dependent gene expression
KAT5,Diseases of DNA repair
KAT5,Diseases of DNA Double-Strand Break Repair
KAT5,Defective homologous recombination repair (HRR) due to BRCA2 loss of function
KAT5,Defective homologous recombination repair (HRR) due to BRCA1 loss of function
KAT5,Defective homologous recombination repair (HRR) due to PALB2 loss of function
KAT5,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function
KAT5,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function
KAT5,Impaired BRCA2 binding to RAD51
KAT5,Impaired BRCA2 binding to PALB2
ARPC1A,RHO GTPases Activate WASPs and WAVEs
ARPC1A,Parasite infection
ARPC1A,Leishmania phagocytosis
ARPC1A,FCGR3A-mediated phagocytosis
CXCL13,Peptide ligand-binding receptors
CXCL13,Chemokine receptors bind chemokines
CCT7,RHOBTB2 GTPase cycle
CCT7,RHOBTB1 GTPase cycle
CCT7,RHOBTB GTPase Cycle
CCT2,RHOBTB2 GTPase cycle
CCT2,RHOBTB1 GTPase cycle
CCT2,RHOBTB GTPase Cycle
POMT1,Diseases of glycosylation
POMT1,Diseases associated with O-glycosylation of proteins
POMT1,Diseases of metabolism
DRAP1,Signaling by Activin
CDC42EP3,MAPK6/MAPK4 signaling
CDC42EP3,RHOQ GTPase cycle
SH2B2,Signaling by SCF-KIT
SH2B2,Regulation of KIT signaling
MXD4,Signaling by ERBB4
MXD4,Nuclear signaling by ERBB4
ST6GALNAC2,Translation of Structural Proteins
ST6GALNAC2,Maturation of spike protein
ST6GALNAC2,Late SARS-CoV-2 Infection Events
ERLIN1,ABC transporter disorders
ERLIN1,Disorders of transmembrane transporters
ERLIN1,Defective CFTR causes cystic fibrosis
RBCK1,TNFR1-induced proapoptotic signaling
RBCK1,Regulation of TNFR1 signaling
RBCK1,TNFR1-induced NF-kappa-B signaling pathway
RBCK1,TNF signaling
TXNIP,Purinergic signaling in leishmaniasis infection
TXNIP,Cell recruitment (pro-inflammatory response)
RAD51AP1,Diseases of DNA repair
RAD51AP1,Diseases of DNA Double-Strand Break Repair
RAD51AP1,Defective homologous recombination repair (HRR) due to BRCA2 loss of function
RAD51AP1,Defective homologous recombination repair (HRR) due to BRCA1 loss of function
RAD51AP1,Defective homologous recombination repair (HRR) due to PALB2 loss of function
RAD51AP1,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA1 binding function
RAD51AP1,Defective HDR through Homologous Recombination Repair (HRR) due to PALB2 loss of BRCA2/RAD51/RAD51C binding function
RAD51AP1,Impaired BRCA2 binding to PALB2
IGF2BP1,MAPK6/MAPK4 signaling
CAMKK2,Opioid Signalling
CAMKK2,CaMK IV-mediated phosphorylation of CREB
CAMKK2,Calmodulin induced events
CAMKK2,Ca-dependent events
CAMKK2,CaM pathway
CAMKK2,G-protein mediated events
CAMKK2,PLC beta mediated events
CAMKK2,DAG and IP3 signaling
SPINT2,Signaling by MET
KHDRBS1,Signaling by PTK6
KHDRBS1,Signaling by Non-Receptor Tyrosine Kinases
CXCR6,Peptide ligand-binding receptors
CXCR6,Chemokine receptors bind chemokines
RRAGA,MTOR signalling
RRAGA,mTORC1-mediated signalling
RRAGA,Energy dependent regulation of mTOR by LKB1-AMPK
RRAGA,Regulation of PTEN gene transcription
GNA13,NRAGE signals death through JNK
GNA13,p75 NTR receptor-mediated signalling
GNA13,"Cell death signalling via NRAGE, NRIF and NADE"
GNA13,G alpha (12/13) signalling events
GNB5,Opioid Signalling
GNB5,G-protein activation
GNB5,Class B/2 (Secretin family receptors)
GNB5,G beta:gamma signalling through PI3Kgamma
GNB5,G-protein beta:gamma signalling
GNB5,Ca2+ pathway
GNB5,G alpha (12/13) signalling events
GNB5,G beta:gamma signalling through PLC beta
GNB5,G alpha (s) signalling events
GNB5,G alpha (z) signalling events
GNB5,Glucagon-type ligand receptors
GNB5,G beta:gamma signalling through BTK
GNB5,G beta:gamma signalling through CDC42
GNB5,Extra-nuclear estrogen signaling
GNB5,GPER1 signaling
GNB5,ADORA2B mediated anti-inflammatory cytokines production
GNB5,Anti-inflammatory response favouring Leishmania parasite infection
GNB5,Leishmania parasite growth and survival
PAK6,Activation of RAC1
PAK6,RHOD GTPase cycle
PAK6,RHOH GTPase cycle
PAK6,RHOV GTPase cycle
ADCY1,Opioid Signalling
ADCY1,PKA-mediated phosphorylation of CREB
ADCY1,Calmodulin induced events
ADCY1,Ca-dependent events
ADCY1,CaM pathway
ADCY1,G-protein mediated events
ADCY1,PLC beta mediated events
ADCY1,DAG and IP3 signaling
ADCY1,PKA activation
ADCY1,Adenylate cyclase activating pathway
ADCY1,Adenylate cyclase inhibitory pathway
ADCY1,G alpha (s) signalling events
ADCY1,G alpha (z) signalling events
ADCY1,Hedgehog 'off' state
ADCY1,GPER1 signaling
ADCY1,ADORA2B mediated anti-inflammatory cytokines production
ADCY1,Anti-inflammatory response favouring Leishmania parasite infection
ADCY1,FCGR3A-mediated IL10 synthesis
ADCY1,Leishmania parasite growth and survival
CETP,NR1H2 and NR1H3-mediated signaling
CETP,NR1H3 & NR1H2 regulate gene expression linked to cholesterol transport and efflux
NRG3,Signaling by ERBB2
NRG3,Signaling by ERBB2 in Cancer
NRG3,Signaling by ERBB4
NRG3,Nuclear signaling by ERBB4
NRG3,Negative regulation of the PI3K/AKT network
NRG3,PI3K/AKT Signaling in Cancer
NRG3,Constitutive Signaling by Aberrant PI3K in Cancer
NRG3,"PI5P, PP2A and IER3 Regulate PI3K/AKT Signaling"
NRG3,Signaling by PTK6
NRG3,Downregulation of ERBB2 signaling
NRG3,Signaling by Non-Receptor Tyrosine Kinases
NRG3,Signaling by ERBB2 KD Mutants
NRG3,Signaling by ERBB2 TMD/JMD mutants
CFL1,RHO GTPases Activate ROCKs
NUDC,RHO GTPases Activate Formins
NUDC,RND2 GTPase cycle
PTGES3,Estrogen-dependent gene expression
PTGES3,Potential therapeutics for SARS
STAG2,Estrogen-dependent gene expression
GRAP,Signaling by SCF-KIT
GIPC1,Signaling by FGFR
GIPC1,Signaling by FGFR1
GIPC1,Signaling by TGFBR3
NUP50,Host Interactions of HIV factors
NUP50,Rev-mediated nuclear export of HIV RNA
NUP50,Transport of Ribonucleoproteins into the Host Nucleus
NUP50,Export of Viral Ribonucleoproteins from Nucleus
NUP50,NS1 Mediated Effects on Host Pathways
NUP50,Viral Messenger RNA Synthesis
NUP50,NEP/NS2 Interacts with the Cellular Export Machinery
NUP50,Interactions of Vpr with host cellular proteins
NUP50,Interactions of Rev with host cellular proteins
NUP50,Nuclear import of Rev protein
NUP50,Vpr-mediated nuclear import of PICs
NUP50,SLC transporter disorders
NUP50,Defective TPR may confer susceptibility towards thyroid papillary carcinoma (TPC)
NUP50,Disorders of transmembrane transporters
NUP50,HCMV Infection
NUP50,HCMV Early Events
NUP50,HCMV Late Events
NUP50,SARS-CoV-2 activates/modulates innate and adaptive immune responses
AHCYL1,Opioid Signalling
AHCYL1,G-protein mediated events
AHCYL1,PLC beta mediated events
AHCYL1,DAG and IP3 signaling
AHCYL1,Signaling by VEGF
